locus_tag,length,genes,EC,product [prokka],KO,product [KEGG],annotation [KEGG GENES ]
RHAL1_00213,1443, , ,Type VI secretion system protein ImpD,K11899,type VI secretion system protein ImpD,K11899 type VI secretion system protein ImpD 
RHAL1_00214,1491, , ,EvpB family type VI secretion protein,K11900,type VI secretion system protein ImpC,K11900 type VI secretion system protein ImpC 
RHAL1_00215,510, , ,Type VI secretion system-associated protein,K11901,type VI secretion system protein ImpB,K11901 type VI secretion system protein ImpB 
RHAL1_00216,1152, , ,hypothetical protein,K11902,type VI secretion system protein ImpA,K11902 type VI secretion system protein ImpA 
RHAL1_00217,2748,clpV, ,Protein ClpV1,K11907,type VI secretion system protein VasG,K11907 type VI secretion system protein VasG 
RHAL1_00218,477, , ,hypothetical protein,K11903,type VI secretion system secreted protein Hcp,K11903 type VI secretion system secreted protein Hcp 
RHAL1_00219,402, , ,putative membrane protein,,,no KO assigned 
RHAL1_00220,129, , ,putative Phosphate starvation-inducible protein PsiF,,,no KO assigned 
RHAL1_00221,177, , ,protein of unknown function,,,no KO assigned 
RHAL1_00222,882, , ,putative Acetyltransferase,,,no KO assigned 
RHAL1_00223,1233, , ,putative DNA modification/repair radical SAM protein,,,no KO assigned 
RHAL1_00224,1299, , ,Methyl-accepting chemotaxis protein,K03406,methyl-accepting chemotaxis protein,K03406 methyl-accepting chemotaxis protein 
RHAL1_00225,957,gshB,6.3.2.3,Glutathione synthetase,K01920,glutathione synthase [EC:6.3.2.3],K01920 glutathione synthase [EC:6.3.2.3] 
RHAL1_00226,2823,glnD,2.7.7.59,[Protein-PII] uridylyltransferase / [Protein-PII]-UMP uridylyl-removing enzyme,K00990,[protein-PII] uridylyltransferase [EC:2.7.7.59],K00990 [protein-PII] uridylyltransferase [EC:2.7.7.59] 
RHAL1_00227,1017, , ,hypothetical protein,,,no KO assigned 
RHAL1_00228,786, , ,RNA polymerase-associated protein,K00799|K03599 ,glutathione S-transferase [EC:2.5.1.18]|stringent starvation protein A ,K03599 stringent starvation protein A 
RHAL1_00229,219, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00230,933, , ,hypothetical protein,,,no KO assigned 
RHAL1_00231,309, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00232,459, , ,hypothetical protein,,,no KO assigned 
RHAL1_00233,1077,prfA, ,peptide chain release factor RF-1,K02835,peptide chain release factor 1,K02835 peptide chain release factor 1 
RHAL1_00234,2733,mutS, ,DNA mismatch repair protein MutS,K03555,DNA mismatch repair protein MutS,K03555 DNA mismatch repair protein MutS 
RHAL1_00235,870, , ,Polysaccharide deacetylase,,,no KO assigned 
RHAL1_00236,600, , ,Cytochrome b561,K12262,cytochrome b561,no KO assigned 
RHAL1_00237,567, , ,hypothetical protein,,,no KO assigned 
RHAL1_00238,246, , ,hypothetical protein,K02078,acyl carrier protein,K02078 acyl carrier protein 
RHAL1_00239,1473, , ,hypothetical protein,,,K03367 D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13] 
RHAL1_00240,159, , ,hypothetical protein,,,no KO assigned 
RHAL1_00241,618, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00242,1617,mdoG, ,Glucans biosynthesis protein G,K03670,periplasmic glucans biosynthesis protein,K03670 periplasmic glucans biosynthesis protein 
RHAL1_00243,1209,pgk,2.7.2.3,phosphoglycerate kinase,K00927,phosphoglycerate kinase [EC:2.7.2.3],K00927 phosphoglycerate kinase [EC:2.7.2.3] 
RHAL1_00244,1008,epd,1.2.1.72,D-erythrose 4-phosphate dehydrogenase,K00134|K01596 ,glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]|phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32] ,K00134 glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12] 
RHAL1_00245,291, , ,hypothetical protein,,,no KO assigned 
RHAL1_00246,369, , ,Cell division protein ZapA,K09888,cell division protein ZapA,K09888 cell division protein ZapA 
RHAL1_00247,85, , ,tRNA-Leu(cag),,,no KO assigned 
RHAL1_00248,1851, , ,hypothetical protein,,,no KO assigned 
RHAL1_00249,714, , ,protein of unknown function,,,no KO assigned 
RHAL1_00250,864, , ,protein of unknown function,,,no KO assigned 
RHAL1_00251,1119, , ,hypothetical protein,,,K01338 ATP-dependent Lon protease [EC:3.4.21.53] 
RHAL1_00252,834, , ,protein of unknown function,,,no KO assigned 
RHAL1_00253,1197, , ,transposase (fragment),K07485,transposase,no KO assigned 
RHAL1_00254,360, , ,transposase (fragment),,,no KO assigned 
RHAL1_00255,1557, , ,transposase,K07485,transposase,no KO assigned 
RHAL1_00256,1062, ,3.1.1.61,Protein-glutamate methylesterase (fragment),,,no KO assigned 
RHAL1_00257,1167, ,3.1.1.61,Protein-glutamate methylesterase (fragment),K00575|K13924 ,"chemotaxis protein methyltransferase CheR [EC:2.1.1.80]|two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.8 ","K13924 two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61] "
RHAL1_00258,411, , ,"DNA-binding transcriptional regulator, MerR family",,,no KO assigned 
RHAL1_00259,1284, , ,NADH dehydrogenase,K03885,NADH dehydrogenase [EC:1.6.99.3],K03885 NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9] 
RHAL1_00260,165, , ,NUDIX domain protein (fragment),,,no KO assigned 
RHAL1_00261,108, , ,protein of unknown function,,,no KO assigned 
RHAL1_00262,417, , ,hypothetical protein,,,no KO assigned 
RHAL1_00263,1680, , ,Phosphate:Na+ symporter,K03324,phosphate:Na+ symporter,K03324 phosphate:Na+ symporter 
RHAL1_00264,576, , ,protein of unknown function,K07220,uncharacterized protein,K07220 uncharacterized protein 
RHAL1_00265,1002,pit, ,putative low-affinity inorganic phosphate transporter,K03306,"inorganic phosphate transporter, PiT family","K03306 inorganic phosphate transporter, PiT family "
RHAL1_00266,423, , ,hypothetical protein,,,no KO assigned 
RHAL1_00267,873, , ,transposase (fragment),,,no KO assigned 
RHAL1_00268,906, , ,putative integrase/recombinase y4qK,,,K04763 integrase/recombinase XerD 
RHAL1_00269,1341,nmoT_1, ,transposase,,,no KO assigned 
RHAL1_00270,741, , ,ATPase,,,no KO assigned 
RHAL1_00271,663, , ,protein of unknown function,,,no KO assigned 
RHAL1_00272,1182, , ,hypothetical protein,,,no KO assigned 
RHAL1_00273,1938, , ,protein of unknown function,,,no KO assigned 
RHAL1_00274,861, , ,protein of unknown function,,,no KO assigned 
RHAL1_00275,1383, , ,protein of unknown function,,,no KO assigned 
RHAL1_00276,804, , ,"putative polysaccharide ABC exporter, permease protein",K09688,capsular polysaccharide transport system permease protein,K09688 capsular polysaccharide transport system permease protein 
RHAL1_00277,165, , ,protein of unknown function,,,no KO assigned 
RHAL1_00278,564,rmlC_1,5.1.3.13,"dTDP-4-deoxyrhamnose-3,5-epimerase",K01790,"dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]","K01790 dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13] "
RHAL1_00279,2472, , ,hypothetical protein,K20444,O-antigen biosynthesis protein [EC:2.4.1.-],no KO assigned 
RHAL1_00280,891, , ,hypothetical protein,,,no KO assigned 
RHAL1_00281,741, , ,hypothetical protein,,,no KO assigned 
RHAL1_00282,159, , ,hypothetical protein,,,no KO assigned 
RHAL1_00283,1557, , ,transposase,K07485,transposase,no KO assigned 
RHAL1_00284,165, , ,protein of unknown function,,,no KO assigned 
RHAL1_00285,1752, , ,Phage integrase family protein,,,no KO assigned 
RHAL1_00286,804, , ,protein of unknown function,,,no KO assigned 
RHAL1_00287,1620, , ,protein of unknown function,,,no KO assigned 
RHAL1_00288,1008, , ,"DNA polymerase LigD, ligase domain protein",K01971,bifunctional non-homologous end joining protein LigD [EC:6.5.1.1],K01971 bifunctional non-homologous end joining protein LigD [EC:6.5.1.1] 
RHAL1_00289,216, , ,protein of unknown function,,,no KO assigned 
RHAL1_00290,255, , ,hypothetical protein,,,no KO assigned 
RHAL1_00291,450, , ,hypothetical protein,K09936,bacterial/archaeal transporter family-2 protein,K09936 bacterial/archaeal transporter family-2 protein 
RHAL1_00292,708,arsH,1.-.-.-,NADPH-dependent FMN reductase ArsH,K11811,arsenical resistance protein ArsH,K11811 arsenical resistance protein ArsH 
RHAL1_00293,1053,acr, ,Arsenical-resistance protein Acr3,K03325,arsenite transporter,K03325 arsenite transporter 
RHAL1_00294,426,arsC,1.20.4.1,arsenate reductase,K00537,arsenate reductase (glutaredoxin) [EC:1.20.4.1],K00537 arsenate reductase (glutaredoxin) [EC:1.20.4.1] 
RHAL1_00295,528, , ,ArsR family transcriptional regulator,K03741,arsenate reductase (thioredoxin) [EC:1.20.4.4],K03741 arsenate reductase (thioredoxin) [EC:1.20.4.4] 
RHAL1_00296,357, , ,Transcriptional regulator,,,"K03892 ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptiona"
RHAL1_00297,408, , ,hypothetical protein,,,no KO assigned 
RHAL1_00298,1434, , ,"Membrane fusion protein, Cu(I)/Ag(I) efflux system",K07798,"membrane fusion protein, Cu(I)/Ag(I) efflux system","K07798 membrane fusion protein, copper/silver efflux system "
RHAL1_00299,1467,cusA_1, ,"copper/silver efflux system, membrane component",,,no KO assigned 
RHAL1_00300,108,cusA_2, ,"copper/silver efflux system, membrane component",,,no KO assigned 
RHAL1_00301,1599,cusA_3, ,"copper/silver efflux system, membrane component",,,K07787 copper/silver efflux system protein 
RHAL1_00302,387, , ,hypothetical protein,,,no KO assigned 
RHAL1_00303,315, , ,protein of unknown function,,,no KO assigned 
RHAL1_00304,1467, , ,Outer membrane efflux protein,,,no KO assigned 
RHAL1_00305,1404, , ,Multicopper oxidase type 3,K22348,manganese oxidase [EC:1.16.3.3],K22348 manganese oxidase [EC:1.16.3.3] 
RHAL1_00306,489, , ,Copper resistance protein,,,no KO assigned 
RHAL1_00307,237, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00308,288, , ,RND transporter,,,no KO assigned 
RHAL1_00309,591, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00310,1119, , ,hypothetical protein,K07089,uncharacterized protein,K07089 uncharacterized protein 
RHAL1_00311,756, , ,Cation transporter,,,no KO assigned 
RHAL1_00312,420,hmrR, ,HTH-type transcriptional regulator HmrR,K08365,"MerR family transcriptional regulator, mercuric resistance operon regulatory",no KO assigned 
RHAL1_00313,840, , ,protein of unknown function,,,no KO assigned 
RHAL1_00314,792, , ,protein of unknown function,,,no KO assigned 
RHAL1_00315,1182, , ,Pyrophosphatase,,,no KO assigned 
RHAL1_00316,543, , ,Uracil DNA glycosylase superfamily protein (fragment),,,no KO assigned 
RHAL1_00317,633, , ,hypothetical protein,,,no KO assigned 
RHAL1_00318,1104, , ,transposase,K07481,"transposase, IS5 family",no KO assigned 
RHAL1_00319,690, , ,Peptidase C1,,,no KO assigned 
RHAL1_00320,1557, , ,transposase,K07485,transposase,no KO assigned 
RHAL1_00321,741, , ,ATPase,,,no KO assigned 
RHAL1_00322,1497,nmoT_2, ,transposase,,,no KO assigned 
RHAL1_00323,1164, , ,hypothetical protein,,,no KO assigned 
RHAL1_00324,1119, , ,hypothetical protein,,,no KO assigned 
RHAL1_00325,621, , ,protein of unknown function,,,K05520 protease I [EC:3.5.1.124] 
RHAL1_00326,378, , ,Antibiotic biosynthesis monooxygenase (modular protein),,,no KO assigned 
RHAL1_00327,1716, , ,hypothetical protein,,,K00384 thioredoxin reductase (NADPH) [EC:1.8.1.9] 
RHAL1_00328,309, , ,Zn-finger-containing protein,,,no KO assigned 
RHAL1_00329,1002,tdh,1.1.1.103,L-threonine 3-dehydrogenase,,,K00148 glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46] 
RHAL1_00330,183,fdm,1.2.98.1,Formaldehyde dismutase,,,no KO assigned 
RHAL1_00331,243, , ,exported protein of unknown function,,,no KO assigned 
RHAL1_00332,684, , ,Dimethylallyltransferase,,,no KO assigned 
RHAL1_00333,594, , ,protein of unknown function,,,no KO assigned 
RHAL1_00334,600, , ,Uracil-DNA glycosylase,,,no KO assigned 
RHAL1_00335,2076, , ,Oxidoreductase FAD/NAD(P)-binding domain protein,K07006,uncharacterized protein,K07006 uncharacterized protein 
RHAL1_00336,630,gstA, ,Protein GstA,K00799,glutathione S-transferase [EC:2.5.1.18],K00799 glutathione S-transferase [EC:2.5.1.18] 
RHAL1_00337,648, , ,hypothetical protein,,,"K18301 TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor "
RHAL1_00338,765, , ,Methyltransferase type 11,,,no KO assigned 
RHAL1_00339,1002,ndmA,1.14.13.178,NdmA protein,,,no KO assigned 
RHAL1_00340,579, , ,hypothetical protein,,,no KO assigned 
RHAL1_00341,660, , ,hypothetical protein,,,no KO assigned 
RHAL1_00342,360, , ,protein of unknown function,,,no KO assigned 
RHAL1_00343,483, , ,Two-component system response regulator (fragment),,,no KO assigned 
RHAL1_00344,216, , ,protein of unknown function,,,no KO assigned 
RHAL1_00345,2169, , ,Multi-sensor hybrid histidine kinase (fragment),K05962,protein-histidine pros-kinase [EC:2.7.13.1],no KO assigned 
RHAL1_00346,753, , ,IS5 family transposase ISMpo8,K07492,putative transposase,no KO assigned 
RHAL1_00347,735, , ,Cellulose biosynthesis protein BcsS,,,no KO assigned 
RHAL1_00348,2421, ,2.4.1.12,Cellulose synthase catalytic subunit [UDP-forming],K00694,cellulose synthase (UDP-forming) [EC:2.4.1.12],K00694 cellulose synthase (UDP-forming) [EC:2.4.1.12] 
RHAL1_00349,2340, , ,putative Cyclic di-GMP-binding protein,K20541,cellulose synthase operon protein B,K20541 cellulose synthase operon protein B 
RHAL1_00350,1095, , ,Cellulase,K20542,endoglucanase [EC:3.2.1.4],K20542 endoglucanase [EC:3.2.1.4] 
RHAL1_00351,1845, , ,hypothetical protein,,,K20543 cellulose synthase operon protein C 
RHAL1_00352,837, , ,hypothetical protein,,,no KO assigned 
RHAL1_00353,1086, , ,protein of unknown function,,,no KO assigned 
RHAL1_00354,612, ,4.2.1.1,Carbonic anhydrase,K01673,carbonic anhydrase [EC:4.2.1.1],K01673 carbonic anhydrase [EC:4.2.1.1] 
RHAL1_00355,1242, , ,"Endo-1,4-beta-xylanase, GH35 family",K01181,"endo-1,4-beta-xylanase [EC:3.2.1.8]","K01181 endo-1,4-beta-xylanase [EC:3.2.1.8] "
RHAL1_00356,1395, , ,hypothetical protein,,,no KO assigned 
RHAL1_00357,1605, , ,hypothetical protein,,,no KO assigned 
RHAL1_00358,1506, , ,UbiA family prenyltransferase,,,no KO assigned 
RHAL1_00359,441, , ,hypothetical protein,,,no KO assigned 
RHAL1_00360,1332,dprE,1.1.98.3,Decaprenylphosphoryl-beta-D-ribose oxidase,K16653,decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3],K16653 decaprenylphospho-beta-D-ribofuranose 2-oxidase [EC:1.1.98.3] 
RHAL1_00361,759, , ,Short-chain dehydrogenase,,,K16652 decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase [EC:1.1.1.333] 
RHAL1_00362,807, , ,FkbM family methyltransferase,,,no KO assigned 
RHAL1_00363,897,fda,4.1.2.13,Fructose-bisphosphate aldolase class 1,K01623,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","K01623 fructose-bisphosphate aldolase, class I [EC:4.1.2.13] "
RHAL1_00364,1320,prsE_1, ,Type I secretion system membrane fusion protein PrsE,K02022,HlyD family secretion protein,"K12537 membrane fusion protein, type I secretion system "
RHAL1_00365,1770,prsD_1, ,Type I secretion system ATP-binding protein PrsD,,,"K12536 ATP-binding cassette, subfamily C, type I secretion system permease/ATPase "
RHAL1_00366,693, , ,protein of unknown function,,,no KO assigned 
RHAL1_00367,1590, , ,hypothetical protein,,,no KO assigned 
RHAL1_00368,1239, , ,putative DegT/DnrJ/EryC1/StrS aminotransferase,,,no KO assigned 
RHAL1_00369,702, , ,hypothetical protein,,,no KO assigned 
RHAL1_00370,1506, , ,protein of unknown function,,,no KO assigned 
RHAL1_00371,933, , ,hypothetical protein,,,no KO assigned 
RHAL1_00372,4575, , ,protein of unknown function,K07272|K20444 ,rhamnosyltransferase [EC:2.4.1.-]|O-antigen biosynthesis protein [EC:2.4.1.-] ,no KO assigned 
RHAL1_00373,783, , ,hypothetical protein,,,no KO assigned 
RHAL1_00374,729, , ,NAD-dependent epimerase/dehydratase (fragment),,,no KO assigned 
RHAL1_00375,531, ,5.1.3.13,"dTDP-4-dehydrorhamnose 3,5-epimerase",K01790,"dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]","K01790 dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13] "
RHAL1_00376,1239, , ,SAM-dependent methyltransferase,,,no KO assigned 
RHAL1_00377,1083,rfbG,4.2.1.45,"CDP-glucose 4,6-dehydratase",K01709,"CDP-glucose 4,6-dehydratase [EC:4.2.1.45]","K01709 CDP-glucose 4,6-dehydratase [EC:4.2.1.45] "
RHAL1_00378,660,rfbF,2.7.7.33,Glucose-1-phosphate cytidylyltransferase,K00978,glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33],K00978 glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33] 
RHAL1_00379,900, , ,Epimerase,K15856,GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281],K15856 GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281] 
RHAL1_00380,981,gmd,4.2.1.47,"GDP-D-mannose dehydratase, NAD(P)-binding",K01711,"GDPmannose 4,6-dehydratase [EC:4.2.1.47]","K01711 GDPmannose 4,6-dehydratase [EC:4.2.1.47] "
RHAL1_00381,858, , ,"putative polysaccharide ABC exporter, permease protein",K09688,capsular polysaccharide transport system permease protein,K09688 capsular polysaccharide transport system permease protein 
RHAL1_00382,939,fcl,5.1.3.-,bifunctional GDP-fucose synthetase: GDP-4-dehydro-6-deoxy-D-mannose epimerase and GDP-4-dehydro-6-L-deoxygalactose reductase,K02377,GDP-L-fucose synthase [EC:1.1.1.271],K02377 GDP-L-fucose synthase [EC:1.1.1.271] 
RHAL1_00383,1011, , ,hypothetical protein,,,no KO assigned 
RHAL1_00384,1935, , ,hypothetical protein,,,no KO assigned 
RHAL1_00385,549, , ,Glycosyl transferase family 2 (fragment),K20444,O-antigen biosynthesis protein [EC:2.4.1.-],no KO assigned 
RHAL1_00386,1356, , ,Glycosyl transferase family 2 (fragment),K20444,O-antigen biosynthesis protein [EC:2.4.1.-],no KO assigned 
RHAL1_00387,1839,glmS,2.6.1.16,L-glutamine:D-fructose-6-phosphate aminotransferase,K00820,glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16],K00820 glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16] 
RHAL1_00388,1371,glmU,2.3.1.157,UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase,K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosph,K04042 bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltran
RHAL1_00389,195, , ,hypothetical protein,,,no KO assigned 
RHAL1_00390,735, , ,TetR family transcriptional regulator,,,no KO assigned 
RHAL1_00391,798, , ,hypothetical protein,K07261,penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-],K07261 penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-] 
RHAL1_00392,741, , ,ATPase,,,no KO assigned 
RHAL1_00393,1497,nmoT_3, ,transposase,,,no KO assigned 
RHAL1_00394,423, , ,hypothetical protein,K06886,hemoglobin,K06886 hemoglobin 
RHAL1_00395,876,hbdA,1.1.1.157,3-hydroxybutyryl-CoA dehydrogenase,K00074,3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157],K00074 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] 
RHAL1_00396,951,etfA, ,electron transfer flavoprotein alpha-subunit,K03522,electron transfer flavoprotein alpha subunit,K03522 electron transfer flavoprotein alpha subunit 
RHAL1_00397,750,etfB, ,electron transfer flavoprotein beta-subunit,K03521,electron transfer flavoprotein beta subunit,K03521 electron transfer flavoprotein beta subunit 
RHAL1_00398,513, , ,hypothetical protein,,,no KO assigned 
RHAL1_00399,609, , ,Pilus assembly protein TadE,,,no KO assigned 
RHAL1_00400,735, , ,TadE-like protein,,,no KO assigned 
RHAL1_00401,1518, , ,Flp pilus assembly protein TadG,,,no KO assigned 
RHAL1_00402,1035,asd,1.2.1.11,Aspartate-semialdehyde dehydrogenase,K00133,aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],K00133 aspartate-semialdehyde dehydrogenase [EC:1.2.1.11] 
RHAL1_00403,471, , ,hypothetical protein,,,no KO assigned 
RHAL1_00404,1299, , ,Group 1 glycosyl transferase,,,no KO assigned 
RHAL1_00405,768, , ,hypothetical protein,,,no KO assigned 
RHAL1_00406,1359, , ,8-amino-7-oxononanoate synthase,,,K00652 8-amino-7-oxononanoate synthase [EC:2.3.1.47] 
